CODIGO DE BARRAS,CODIGO INT,DESCRIPCION,Proveedor,CANTIDADES,stock al cargar,Entrada,Salida,Macros,Macros,Stock
6.94012E+12,HPI0323,PISTOLA DE AGUA  CHICA,RONSON,21,21,0,0,0,0,
7.54141E+12,HPI1663,PISTOLA DE AGUA ,RONSON,17,20,0,0,0,0,
7.79801E+12,HEX0980,PILETA POWER RANGERS 3 ANILLOS,DITOYS,20,13,0,0,0,7,
6.94012E+12,HPI1439,Pistola de agua,RONSON,17,17,0,0,0,0,
7.79814E+12,HAU1452,AUTO BEN10,DITOYS,91,1,0,0,0,90,
6.99121E+12,FPO8030,PONY LUCKY CON MUÑECA,METALPACK,140,1,0,0,0,139,
6.99121E+12,FTE8028,SET DE TE ,METALPACK,1,1,0,0,0,0,
6.9E+12,FPO0183,PONY MY HAPPY HORSE FASHION,RONSON,1,1,0,0,0,0,
7.79536E+12,FAD1117,ANDADIN MINNIE,KMG,12,12,0,0,0,0,
7.79536E+12,FAD1980,ANDADOR PONY ,KMG,2,2,0,0,0,0,
7.79536E+12,HAD1107,ANDADOR MICKEY HOUSE,KMG,12,12,0,0,0,0,
7.798E+12,BSO6204,INVOLCABLE INFLABLE SONAJERO,VULCANITA,48,48,0,0,0,0,
7.79401E+12,HPI7684,LAPICES MICKEY SOBRE RUEDAS,TAPIMOVIL,1,1,0,0,0,0,
7.79401E+12,HPI0859,SET ACUARELAS,TAPIMOVIL,11,11,0,0,0,0,
7.79401E+12,HPI0812,SET DE LAPICES PJMASKS,TAPIMOVIL,20,20,0,0,0,0,
7798004835331G,BBN5331G,Bañera Anatomica GRIS,JUGUETOYS,6,6,0,0,0,0,
7798004835331C,BBN5331C,Bañera Anatomica CELESTE,JUGUETOYS,18,18,0,0,0,0,
7798004835331R,BBN5331R,Bañera Anatomica ROSA,JUGUETOYS,18,18,0,0,0,0,
7.798E+12,FJU3130,CUTIE STICKS,CAFFARO,6,6,0,0,0,0,
